Drug_Index,Protein_Index,Kd (nM)
D13361,P307,30.0
D13372,P465,30.0
D13373,P465,30.0
D13374,P465,30.0
D13375,P465,30.0
D13376,P225,30.0
D13377,P555,30.0
D13378,P1035,30.0
D13379,P1035,30.0
D13380,P1035,30.0
D13381,P1035,30.0
D13382,P1035,30.0
D13383,P1035,30.0
D13384,P1035,30.0
D13385,P1035,30.0
D13386,P1035,30.0
D13387,P1035,30.0
D13388,P1035,30.0
D13389,P1035,30.0
D13390,P1035,30.0
D13391,P1035,30.0
D13392,P1035,30.0
D13393,P1035,30.0
D10514,P1035,30.0
D13394,P1035,30.0
D13395,P1035,30.0
D13396,P1035,30.0
D13397,P1035,30.0
D13398,P1035,30.0
D13399,P1035,30.0
D13400,P1035,30.0
D13401,P1035,30.0
D13402,P1035,30.0
D13403,P1035,30.0
D13404,P1035,30.0
D13405,P1035,30.0
D13406,P1035,30.0
D10580,P1035,30.0
D13407,P1035,30.0
D13408,P1035,30.0
D13409,P1035,30.0
D13410,P1035,30.0
D10617,P1035,30.0
D13411,P556,30.0
D13412,P556,30.0
D13413,P378,30.0
D13414,P378,30.0
D13415,P1035,30.0
D13416,P1035,30.0
D13417,P1035,30.0
D13418,P1035,30.0
D13419,P1035,30.0
D13420,P1035,30.0
D13421,P1035,30.0
D13422,P1035,30.0
D13423,P1035,30.0
D13424,P1035,30.0
D13425,P1035,30.0
D13426,P1035,30.0
D13427,P1035,30.0
D13428,P1035,30.0
D13429,P1035,30.0
D13430,P1035,30.0
D13431,P1035,30.0
D13432,P1035,30.0
D13433,P1035,30.0
D13434,P1035,30.0
D13435,P1035,30.0
D13436,P1035,30.0
D13437,P1035,30.0
D13438,P1035,30.0
D13439,P1035,30.0
D13440,P1035,30.0
D13441,P1035,30.0
D13442,P1035,30.0
D13443,P1035,30.0
D13444,P1035,30.0
D11102,P1035,30.0
D13445,P1035,30.0
D13446,P1035,30.0
D13447,P1035,30.0
D13448,P1035,30.0
D13449,P1035,30.0
D13450,P1035,30.0
D13451,P1035,30.0
D13452,P1035,30.0
D13453,P1035,30.0
D13454,P1035,30.0
D13455,P1035,30.0
D13445,P1035,30.0
D13456,P1035,30.0
D13457,P1035,30.0
D13458,P1035,30.0
D13459,P1035,30.0
D13460,P1035,30.0
D13461,P1035,30.0
D13462,P1035,30.0
D13463,P1035,30.0
D13464,P1035,30.0
D13465,P638,30.0
D846,P205,30.0
D7850,P71,30.0
D13466,P933,30.0
D13467,P473,30.0
D265,P1228,30.0
D265,P350,30.0
D265,P661,30.0
D13468,P172,30.0
D13469,P172,30.0
D3303,P1248,30.0
D3303,P330,30.0
D9912,P1221,30.0
D265,P824,30.0
D265,P419,30.0
D3403,P488,30.0
D265,P1236,30.0
D3343,P24,30.0
D1131,P21,30.0
D3343,P19,30.0
D3343,P23,30.0
D265,P266,30.0
D6122,P65,30.0
D6405,P291,30.0
D3303,P330,30.0
D850,P78,30.0
D850,P78,30.0
D3303,P481,30.0
D3303,P1248,30.0
D13470,P26,30.0
D265,P824,30.0
D265,P266,30.0
D265,P419,30.0
D6405,P291,30.0
D6122,P65,30.0
D621,P225,30.0
D13471,P727,30.0
D13472,P1010,30.0
D13473,P1010,30.0
D4966,P137,30.0
D13474,P1249,30.0
D13475,P267,30.0
D11586,P470,30.0
D13476,P421,30.0
D13331,P307,30.0
D13327,P307,30.0
D13326,P307,30.0
D13352,P307,30.0
D13350,P307,30.0
D13371,P307,30.0
D13370,P307,30.0
D13351,P307,30.0
D13477,P307,30.0
D13478,P307,30.0
D13349,P307,30.0
D13479,P307,30.0
D13480,P307,30.0
D13481,P307,30.0
D13360,P307,30.0
D13482,P326,30.0
D13483,P307,30.0
D13482,P307,30.0
D9931,P307,30.0
D10177,P307,30.0
D10180,P307,30.0
D10178,P307,30.0
D13361,P307,30.0
D13330,P307,30.0
D13484,P65,30.0
D13485,P89,30.0
D13486,P89,30.0
D13487,P302,30.0
D11492,P453,30.0
D13488,P1000,30.0
D13489,P44,30.0
D13490,P16,30.0
D13140,P453,30.0
D3517,P1250,30.0
D2511,P266,30.0
D3266,P266,30.0
D2733,P288,30.0
D331,P209,30.0
D331,P763,30.0
D7186,P173,30.0
D331,P747,30.0
D4959,P452,30.0
D13491,P1168,30.0
D13491,P1168,30.0
D13492,P226,30.0
D5834,P519,30.0
D13493,P367,30.0
D13144,P346,30.0
D13494,P322,30.0
D3248,P270,30.0
D13495,P203,30.0
D2733,P288,30.0
D11640,P105,30.0
D12197,P44,30.0
D13496,P771,30.0
D13210,P1241,30.0
D13497,P287,30.0
D13498,P257,30.0
D13499,P354,30.0
D85,P967,30.0
D348,P967,30.0
D114,P967,30.0
D68,P967,30.0
D12650,P1198,30.0
D13500,P777,30.0
D13501,P273,30.0
D13502,P197,30.0
D696,P263,30.0
D13503,P1169,30.0
D13504,P1169,30.0
D13505,P244,30.0
D13506,P879,30.0
D11640,P105,30.0
D13507,P917,30.0
D13508,P678,30.0
D2704,P30,30.0
D74,P967,30.0
D147,P32,30.0
D61,P34,30.0
D70,P34,30.0
D52,P105,30.0
D6648,P661,30.0
D5610,P510,30.0
D13509,P509,30.0
D6994,P1100,30.0
D11218,P64,30.0
D13510,P79,30.0
D13511,P64,30.0
D13512,P89,30.0
D13512,P89,30.0
D13513,P617,30.0
D10174,P307,30.0
D10173,P307,30.0
D13514,P190,30.0
D13515,P176,30.0
D13516,P176,30.0
D13517,P374,30.0
D13518,P77,30.0
D13519,P212,30.0
D13520,P275,30.0
D13521,P855,30.0
D13522,P1136,30.0
D13523,P954,30.0
D13524,P302,30.0
D877,P47,30.0
D7343,P544,30.0
D11817,P920,30.0
D13525,P302,30.0
D13485,P89,30.0
D13526,P826,30.0
D13527,P509,30.0
D13528,P82,30.0
D13529,P418,30.0
D13529,P418,30.0
D13530,P451,30.2
D13531,P147,30.2
D9105,P310,30.2
D13532,P465,30.3
D13533,P465,30.5
D13534,P465,30.6
D13535,P465,30.7
D13536,P465,30.7
D13537,P378,30.9
D13538,P465,30.9
D13539,P239,30.9
D13540,P239,30.9
D12777,P47,31.0
D6355,P358,31.0
D6122,P501,31.0
D4484,P398,31.0
D227,P333,31.0
D13541,P817,31.0
D5776,P672,31.0
D13542,P55,31.0
D13541,P817,31.0
D13543,P80,31.0
D13544,P450,31.0
D13545,P200,31.0
D5673,P263,31.0
D5915,P263,31.0
D13546,P35,31.0
D13547,P35,31.0
D13548,P725,31.0
D13549,P346,31.0
D13550,P346,31.0
D13551,P346,31.0
D13552,P346,31.0
D13553,P35,31.0
D13554,P35,31.0
D13555,P35,31.0
D13556,P35,31.0
D13557,P346,31.0
D13558,P346,31.0
D13559,P346,31.0
D13560,P555,31.0
D13561,P555,31.0
D13562,P346,31.0
D13563,P346,31.0
D13564,P275,31.0
D13565,P556,31.0
D8395,P378,31.0
D12883,P452,31.0
D294,P92,31.0
D13566,P20,31.0
D13567,P867,31.0
D13568,P1157,31.0
D265,P672,31.0
D13569,P438,31.0
D3516,P65,31.0
D2733,P78,31.0
D2511,P1063,31.0
D4403,P78,31.0
D265,P1081,31.0
D2733,P78,31.0
D3403,P309,31.0
D3403,P488,31.0
D2711,P175,31.0
D6122,P291,31.0
D8056,P333,31.0
D6074,P649,31.0
D13339,P307,31.0
D13570,P1251,31.0
D11154,P930,31.0
D5951,P594,31.0
D13571,P361,31.0
D13572,P1251,31.0
D621,P990,31.0
D6122,P291,31.0
D6122,P501,31.0
D13573,P1252,31.0
D3355,P308,31.0
D8421,P63,31.0
D4484,P398,31.0
D6704,P266,31.0
D6710,P1096,31.0
D3266,P466,31.0
D6710,P263,31.0
D227,P333,31.0
D4835,P504,31.0
D3627,P770,31.0
D6122,P501,31.0
D331,P796,31.0
D701,P1071,31.0
D3517,P811,31.0
D621,P990,31.0
D6355,P358,31.0
D13574,P237,31.0
D13575,P71,31.0
D13575,P71,31.0
D12637,P91,31.0
D12190,P295,31.0
D13576,P401,31.0
D4484,P398,31.0
D227,P333,31.0
D6122,P501,31.0
D6355,P358,31.0
D13577,P354,31.0
D6122,P291,31.0
D13284,P771,31.0
D13285,P135,31.0
D13578,P135,31.0
D9189,P771,31.0
D103,P11,31.0
D7418,P105,31.0
D552,P967,31.0
D13579,P35,31.0
D553,P48,31.0
D6276,P31,31.0
D6710,P263,31.0
D13580,P573,31.0
D13581,P628,31.0
D13582,P1169,31.0
D9735,P887,31.0
D146,P16,31.0
D88,P44,31.0
D1119,P31,31.0
D72,P44,31.0
D552,P967,31.0
D4412,P38,31.0
D2685,P46,31.0
D53,P48,31.0
D130,P44,31.0
D13583,P35,31.0
D8043,P650,31.0
D11227,P355,31.0
D13584,P72,31.0
D13585,P72,31.0
D13584,P72,31.0
D13585,P72,31.0
D13586,P89,31.0
D13586,P89,31.0
D11227,P355,31.0
D11227,P355,31.0
D6016,P1134,31.0
D13587,P1093,31.0
D11227,P355,31.0
D13588,P246,31.0
D9400,P272,31.0
D6122,P501,31.0
D13589,P116,31.0
D13590,P177,31.0
D13591,P275,31.0
D13592,P332,31.0
D13593,P332,31.0
D13594,P919,31.0
D13594,P919,31.0
D7626,P28,31.0
D13595,P1253,31.0
D13596,P89,31.1
D13597,P143,31.1
D13598,P465,31.2
D6266,P159,31.2
D6016,P1134,31.2
D13599,P451,31.3
D13600,P2,31.3
D13600,P2,31.3
D13601,P303,31.3
D13602,P465,31.4
D7006,P821,31.62
D7007,P821,31.62
D13603,P147,31.62
D8529,P798,31.62
D864,P113,31.62
D13604,P118,31.62
D13605,P2,31.7
D13605,P2,31.7
D13606,P451,31.8
D13607,P465,31.9
D13608,P231,32.0
D253,P309,32.0
D253,P1202,32.0
D10143,P489,32.0
D2651,P1125,32.0
D7125,P501,32.0
D9515,P536,32.0
D11427,P736,32.0
D5776,P1017,32.0
D13034,P879,32.0
D13609,P80,32.0
D13610,P450,32.0
D7502,P450,32.0
D13611,P450,32.0
D13612,P218,32.0
D13613,P218,32.0
D13614,P35,32.0
D13615,P273,32.0
D9767,P262,32.0
D13616,P35,32.0
D13617,P35,32.0
D13618,P35,32.0
D13619,P35,32.0
D13620,P797,32.0
D13621,P726,32.0
D13622,P726,32.0
D13623,P35,32.0
D13624,P556,32.0
D13607,P432,32.0
D13607,P432,32.0
D13625,P10,32.0
D19,P10,32.0
D1131,P1254,32.0
D13626,P1254,32.0
D3303,P325,32.0
D3303,P1255,32.0
D3303,P1255,32.0
D3403,P345,32.0
D3266,P550,32.0
D265,P639,32.0
D265,P309,32.0
D265,P82,32.0
D3303,P325,32.0
D4355,P175,32.0
D12298,P175,32.0
D265,P639,32.0
D265,P309,32.0
D265,P82,32.0
D65,P11,32.0
D2502,P48,32.0
D5602,P505,32.0
D13627,P20,32.0
D13348,P307,32.0
D12597,P28,32.0
D12306,P1166,32.0
D13628,P25,32.0
D9291,P63,32.0
D5728,P297,32.0
D7478,P1256,32.0
D4403,P243,32.0
D701,P984,32.0
D3627,P650,32.0
D2651,P1125,32.0
D331,P548,32.0
D13629,P35,32.0
D13630,P1160,32.0
D13631,P576,32.0
D13632,P576,32.0
D13633,P203,32.0
D13634,P401,32.0
D2651,P1125,32.0
D12637,P81,32.0
D10143,P489,32.0
D520,P901,32.0
D13635,P877,32.0
D12637,P81,32.0
D13636,P512,32.0
D13637,P534,32.0
D13638,P157,32.0
D13639,P1198,32.0
D13640,P35,32.0
D86,P105,32.0
D9455,P470,32.0
D13641,P73,32.0
D13642,P23,32.0
D13643,P628,32.0
D13644,P273,32.0
D230,P44,32.0
D76,P38,32.0
D6648,P947,32.0
D13645,P509,32.0
D13646,P56,32.0
D13647,P532,32.0
D13648,P209,32.0
D13649,P209,32.0
D13650,P72,32.0
D13650,P72,32.0
D13651,P65,32.0
D13652,P312,32.0
D13158,P1174,32.0
D13653,P739,32.0
D5993,P398,32.0
D282,P76,32.0
D11538,P271,32.0
D13654,P302,32.0
D13655,P423,32.0
D13656,P954,32.0
D13657,P421,32.0
D13658,P221,32.2
D13659,P310,32.36
D13659,P310,32.36
D13660,P378,32.4
D13661,P465,32.4
D13662,P451,32.5
D13663,P465,32.6
D13664,P465,32.6
D13665,P378,32.7
D13666,P465,32.9
D11248,P366,32.95
D460,P822,33.0
D253,P391,33.0
D253,P902,33.0
D227,P1257,33.0
D13667,P1009,33.0
D13668,P1031,33.0
D13669,P80,33.0
D12253,P80,33.0
D6127,P80,33.0
D9763,P450,33.0
D13670,P450,33.0
D409,P105,33.0
D5913,P263,33.0
D13671,P35,33.0
D7028,P137,33.0
D7028,P137,33.0
D13672,P35,33.0
D13673,P35,33.0
D13674,P35,33.0
D12143,P35,33.0
D13675,P797,33.0
D13676,P89,33.0
D13677,P35,33.0
D13678,P346,33.0
D13679,P556,33.0
D9555,P378,33.0
D13465,P638,33.0
D13680,P130,33.0
D13680,P130,33.0
D13681,P933,33.0
D460,P473,33.0
D13307,P20,33.0
D13682,P143,33.0
D13683,P19,33.0
D11486,P24,33.0
D265,P391,33.0
D6405,P291,33.0
D3517,P873,33.0
D265,P902,33.0
D2511,P78,33.0
D8056,P78,33.0
D2711,P175,33.0
D265,P391,33.0
D265,P902,33.0
D13684,P855,33.0
D2502,P967,33.0
D6122,P225,33.0
D8056,P729,33.0
D13685,P172,33.0
D460,P473,33.0
D13481,P326,33.0
D13355,P307,33.0
D11154,P405,33.0
D409,P48,33.0
D1068,P48,33.0
D332,P32,33.0
D98,P11,33.0
D13686,P48,33.0
D9292,P721,33.0
D3266,P85,33.0
D3517,P563,33.0
D3266,P350,33.0
D4373,P128,33.0
D227,P1257,33.0
D460,P473,33.0
D5729,P473,33.0
D6711,P446,33.0
D621,P820,33.0
D7186,P1014,33.0
D331,P408,33.0
D13687,P176,33.0
D13688,P807,33.0
D13689,P346,33.0
D13690,P401,33.0
D13652,P312,33.0
D460,P473,33.0
D227,P1257,33.0
D11639,P105,33.0
D12736,P44,33.0
D11641,P105,33.0
D13691,P44,33.0
D13692,P20,33.0
D13693,P1074,33.0
D13694,P405,33.0
D127,P30,33.0
D352,P34,33.0
D1119,P16,33.0
D127,P11,33.0
D13695,P1198,33.0
D491,P38,33.0
D13696,P374,33.0
D13697,P374,33.0
D12320,P470,33.0
D974,P402,33.0
D13698,P628,33.0
D13699,P1258,33.0
D13700,P1259,33.0
D11639,P105,33.0
D4539,P46,33.0
D11641,P105,33.0
D12736,P44,33.0
D7888,P48,33.0
D13691,P44,33.0
D13701,P135,33.0
D323,P967,33.0
D44,P16,33.0
D78,P44,33.0
D44,P48,33.0
D62,P38,33.0
D75,P48,33.0
D165,P32,33.0
D1119,P16,33.0
D51,P48,33.0
D132,P38,33.0
D59,P38,33.0
D130,P38,33.0
D353,P38,33.0
D52,P31,33.0
D428,P38,33.0
D352,P34,33.0
D62,P967,33.0
D91,P105,33.0
D350,P32,33.0
D5610,P504,33.0
D13702,P1238,33.0
D3291,P1260,33.0
D13703,P986,33.0
D13704,P123,33.0
D13705,P1261,33.0
D13706,P914,33.0
D323,P967,33.0
D13707,P41,33.0
D13708,P1093,33.0
D4583,P326,33.0
D12336,P515,33.0
D13709,P928,33.0
D13710,P772,33.0
D13711,P91,33.0
D13712,P91,33.0
D13713,P1262,33.0
D13714,P13,33.0
D11949,P915,33.0
D13715,P465,33.1
D6253,P310,33.11
D13667,P100,33.2
D7792,P48,33.3
D9121,P48,33.3
D13716,P378,33.4
D13717,P89,33.4
D13718,P465,33.4
D13719,P465,33.4
D13720,P465,33.6
D13721,P89,33.8
D13722,P2,33.8
D13722,P2,33.8
D13723,P465,33.9
D8056,P885,34.0
D2733,P345,34.0
D2651,P661,34.0
D13724,P63,34.0
D13725,P736,34.0
D13726,P736,34.0
D13727,P1078,34.0
D13728,P536,34.0
D5776,P1263,34.0
D13729,P1031,34.0
D13724,P63,34.0
D8028,P80,34.0
D13730,P450,34.0
D10191,P450,34.0
D10198,P1032,34.0
D12256,P1226,34.0
D10204,P1226,34.0
D6317,P263,34.0
D9764,P263,34.0
D13731,P35,34.0
D13732,P346,34.0
D13733,P346,34.0
D13734,P35,34.0
D13735,P35,34.0
D13736,P35,34.0
D13737,P35,34.0
D13738,P35,34.0
D13739,P726,34.0
D13740,P726,34.0
D13741,P35,34.0
D13742,P35,34.0
D13743,P346,34.0
D13744,P346,34.0
D13745,P465,34.0
D13746,P555,34.0
D13747,P378,34.0
D13748,P378,34.0
D13749,P121,34.0
D13750,P1022,34.0
D13200,P799,34.0
D7140,P291,34.0
D3403,P944,34.0
D2733,P78,34.0
D8056,P291,34.0
D3517,P65,34.0
D8056,P488,34.0
D13751,P417,34.0
D13752,P406,34.0
D13753,P1212,34.0
D13754,P307,34.0
D13729,P307,34.0
D13755,P20,34.0
D13756,P135,34.0
D4998,P197,34.0
D3266,P518,34.0
D5728,P847,34.0
D3266,P826,34.0
D3517,P920,34.0
D2733,P345,34.0
D2651,P661,34.0
D6711,P634,34.0
D8056,P488,34.0
D4835,P170,34.0
D8423,P913,34.0
D13757,P576,34.0
D7980,P71,34.0
D13758,P807,34.0
D13759,P401,34.0
D2651,P661,34.0
D2733,P345,34.0
D3150,P402,34.0
D13760,P771,34.0
D12199,P135,34.0
D7485,P883,34.0
D5975,P642,34.0
D13761,P628,34.0
D13762,P244,34.0
D13763,P1264,34.0
D5569,P31,34.0
D3482,P38,34.0
D13764,P193,34.0
D5610,P684,34.0
D11933,P1134,34.0
D11933,P1207,34.0
D11933,P1207,34.0
D11933,P1134,34.0
D13765,P874,34.0
D13766,P197,34.0
D13012,P355,34.0
D13767,P1265,34.0
D13768,P1063,34.0
D13069,P1034,34.0
D8091,P1034,34.0
D9372,P247,34.0
D4998,P470,34.0
D13769,P302,34.0
D13770,P197,34.0
D13771,P247,34.0
D12652,P275,34.0
D12652,P275,34.0
D13772,P896,34.0
D12446,P826,34.0
D8091,P470,34.0
D13773,P813,34.0
D13774,P451,34.1
D13775,P378,34.2
D13776,P451,34.2
D13777,P121,34.2
D13778,P451,34.3
D13779,P465,34.3
D13780,P89,34.5
D13780,P89,34.5
D13781,P641,34.5
D7194,P985,34.5
D13782,P2,34.8
D13782,P2,34.8
D7942,P224,34.9
D13783,P451,34.9
D253,P901,35.0
D2733,P78,35.0
D4484,P78,35.0
D7920,P806,35.0
D621,P1023,35.0
D9944,P25,35.0
D9127,P1266,35.0
D13784,P196,35.0
D13785,P450,35.0
D10206,P263,35.0
D5915,P263,35.0
D13786,P65,35.0
D8326,P291,35.0
D13787,P725,35.0
D9524,P797,35.0
D13788,P346,35.0
D13789,P35,35.0
D13790,P35,35.0
D13791,P35,35.0
D13792,P35,35.0
D13793,P35,35.0
D13794,P35,35.0
D13795,P346,35.0
D13796,P555,35.0
D13797,P346,35.0
D13798,P346,35.0
D13799,P346,35.0
D13800,P174,35.0
D13801,P174,35.0
D13802,P174,35.0
D13803,P556,35.0
D13804,P130,35.0
D13805,P526,35.0
D13200,P800,35.0
D13806,P176,35.0
D13807,P176,35.0
D13808,P176,35.0
D13809,P1157,35.0
D621,P672,35.0
D12722,P599,35.0
D13277,P24,35.0
D36,P21,35.0
D13810,P1267,35.0
D3303,P195,35.0
D3303,P434,35.0
D3303,P85,35.0
D7846,P19,35.0
D3303,P85,35.0
D7186,P488,35.0
D3303,P195,35.0
D3403,P752,35.0
D3627,P291,35.0
D3303,P291,35.0
D4477,P81,35.0
D265,P901,35.0
D3303,P481,35.0
D1131,P22,35.0
D331,P209,35.0
D3303,P434,35.0
D7186,P488,35.0
D5728,P599,35.0
D2699,P710,35.0
D13811,P163,35.0
D2733,P78,35.0
D265,P901,35.0
D4484,P78,35.0
D13812,P884,35.0
D13813,P417,35.0
D12814,P232,35.0
D13814,P307,35.0
D13815,P20,35.0
D12889,P645,35.0
D12890,P270,35.0
D621,P1023,35.0
D13816,P322,35.0
D3266,P342,35.0
D3627,P945,35.0
D8422,P291,35.0
D621,P1023,35.0
D7920,P806,35.0
D2699,P770,35.0
D3627,P484,35.0
D13143,P638,35.0
D6286,P13,35.0
D13817,P692,35.0
D621,P672,35.0
D621,P1023,35.0
D7920,P806,35.0
D4521,P895,35.0
D13811,P163,35.0
D13818,P355,35.0
D13819,P287,35.0
D13820,P257,35.0
D13821,P405,35.0
D1119,P31,35.0
D86,P16,35.0
D13822,P1268,35.0
D13823,P374,35.0
D13824,P374,35.0
D13825,P302,35.0
D13826,P793,35.0
D13827,P266,35.0
D9458,P887,35.0
D13828,P123,35.0
D57,P16,35.0
D5569,P48,35.0
D353,P34,35.0
D105,P105,35.0
D5610,P329,35.0
D5610,P73,35.0
D13829,P292,35.0
D13825,P302,35.0
D13830,P41,35.0
D331,P209,35.0
D13831,P11,35.0
D12210,P355,35.0
D11671,P591,35.0
D13832,P1216,35.0
D13833,P877,35.0
D4998,P197,35.0
D9372,P515,35.0
D4413,P744,35.0
D13834,P423,35.0
D13835,P898,35.0
D621,P599,35.0
D13836,P1269,35.0
D13837,P421,35.0
D4929,P82,35.0
D13838,P138,35.0
D3293,P164,35.0
D13839,P197,35.0
D8544,P915,35.0
D8544,P915,35.0
D13840,P465,35.2
D3621,P209,35.3
D13841,P172,35.3
D3621,P209,35.3
D13842,P89,35.4
D13843,P147,35.48
D13844,P465,35.5
D13845,P465,35.7
D13846,P452,35.8
D13847,P465,35.8
D13848,P121,35.8
D12050,P25,36.0
D9512,P20,36.0
D6222,P252,36.0
D10169,P209,36.0
D253,P43,36.0
D9224,P362,36.0
D13849,P452,36.0
D11424,P536,36.0
D13850,P736,36.0
D13851,P736,36.0
D13852,P536,36.0
D13096,P536,36.0
D5776,P244,36.0
D13853,P196,36.0
D13854,P346,36.0
D13855,P1127,36.0
D4539,P32,36.0
D12600,P1033,36.0
D12600,P1033,36.0
D13856,P35,36.0
D13857,P35,36.0
D13858,P35,36.0
D13859,P1155,36.0
D13860,P378,36.0
D13485,P89,36.0
D13485,P89,36.0
D13485,P89,36.0
D13861,P346,36.0
D13862,P556,36.0
D13863,P121,36.0
D7855,P24,36.0
D13864,P23,36.0
D13804,P130,36.0
D9512,P20,36.0
D7976,P295,36.0
D7976,P295,36.0
D13865,P44,36.0
D13866,P113,36.0
D13867,P143,36.0
D13864,P23,36.0
D13868,P176,36.0
D13869,P104,36.0
D12047,P24,36.0
D13870,P438,36.0
D13871,P47,36.0
D3303,P1270,36.0
D6596,P362,36.0
D8407,P23,36.0
D7186,P78,36.0
D701,P291,36.0
D3516,P78,36.0
D3403,P1128,36.0
D265,P78,36.0
D3303,P1270,36.0
D3403,P998,36.0
D7186,P78,36.0
D6596,P362,36.0
D701,P78,36.0
D8422,P291,36.0
D5729,P78,36.0
D2699,P608,36.0
D3516,P78,36.0
D3691,P291,36.0
D9512,P20,36.0
D3412,P175,36.0
D265,P43,36.0
D6596,P362,36.0
D10169,P209,36.0
D13872,P895,36.0
D13873,P1249,36.0
D13874,P406,36.0
D13875,P172,36.0
D857,P650,36.0
D13876,P143,36.0
D8399,P23,36.0
D12537,P16,36.0
D9885,P500,36.0
D3517,P729,36.0
D3266,P386,36.0
D3266,P137,36.0
D7186,P674,36.0
D6222,P252,36.0
D5729,P489,36.0
D13877,P280,36.0
D7608,P215,36.0
D13878,P807,36.0
D13879,P807,36.0
D12897,P163,36.0
D12825,P214,36.0
D6222,P252,36.0
D13880,P1271,36.0
D11180,P35,36.0
D6194,P244,36.0
D9820,P35,36.0
D12088,P382,36.0
D13881,P257,36.0
D13882,P1074,36.0
D4539,P32,36.0
D297,P46,36.0
D7418,P46,36.0
D3267,P46,36.0
D13859,P470,36.0
D13883,P813,36.0
D13884,P374,36.0
D13885,P244,36.0
D7888,P16,36.0
D4539,P32,36.0
D164,P48,36.0
D2532,P44,36.0
D89,P44,36.0
D493,P32,36.0
D75,P16,36.0
D429,P34,36.0
D5610,P728,36.0
D6648,P1148,36.0
D5612,P718,36.0
D11671,P592,36.0
D13886,P1261,36.0
D13887,P1272,36.0
D13888,P41,36.0
D13889,P302,36.0
D6194,P244,36.0
D13890,P302,36.0
D13891,P1088,36.0
D13892,P1094,36.31
D12716,P798,36.31
D13893,P1176,36.4
D5569,P48,36.5
D13894,P378,36.8
D6994,P430,36.8
D13601,P303,36.9
D13601,P303,36.9
D6122,P173,37.0
D2651,P885,37.0
D7920,P1124,37.0
D253,P978,37.0
D6355,P138,37.0
D13315,P536,37.0
D11852,P736,37.0
D13895,P736,37.0
D13896,P80,37.0
D9354,P80,37.0
D13897,P450,37.0
D10158,P35,37.0
D467,P472,37.0
D13898,P725,37.0
D467,P472,37.0
D13899,P346,37.0
D13900,P346,37.0
D13901,P35,37.0
D13902,P35,37.0
D13903,P35,37.0
D13904,P35,37.0
D13905,P35,37.0
D13906,P346,37.0
D13907,P346,37.0
D13908,P346,37.0
D13909,P346,37.0
D13910,P556,37.0
D13911,P556,37.0
D7283,P378,37.0
D9203,P742,37.0
D12088,P382,37.0
D13912,P1265,37.0
D11163,P62,37.0
D265,P978,37.0
D2651,P488,37.0
D265,P78,37.0
D701,P78,37.0
D3403,P931,37.0
D3403,P386,37.0
D3403,P78,37.0
D265,P540,37.0
D265,P1080,37.0
D3403,P81,37.0
D13913,P163,37.0
D265,P978,37.0
D265,P540,37.0
D2502,P16,37.0
D13914,P406,37.0
D1116,P197,37.0
D13915,P276,37.0
D13916,P143,37.0
D409,P105,37.0
D409,P11,37.0
D13917,P591,37.0
D13918,P76,37.0
D13138,P82,37.0
D1116,P197,37.0
D6122,P173,37.0
D11908,P137,37.0
D13919,P256,37.0
D7412,P721,37.0
D5729,P305,37.0
D2511,P252,37.0
D7920,P1124,37.0
D331,P705,37.0
D3517,P329,37.0
D6122,P173,37.0
D701,P661,37.0
D3266,P806,37.0
D331,P993,37.0
D3615,P329,37.0
D6355,P138,37.0
D13920,P487,37.0
D13921,P35,37.0
D4805,P1160,37.0
D13922,P576,37.0
D13923,P176,37.0
D13924,P1273,37.0
D12439,P197,37.0
D7920,P1124,37.0
D6122,P173,37.0
D6355,P138,37.0
D2651,P488,37.0
D13925,P877,37.0
D13926,P35,37.0
D98,P48,37.0
D11639,P44,37.0
D13002,P44,37.0
D13760,P135,37.0
D1116,P197,37.0
D13927,P1087,37.0
D2502,P16,37.0
D13928,P309,37.0
D196,P105,37.0
D352,P967,37.0
D6276,P32,37.0
D972,P38,37.0
D12439,P197,37.0
D72,P967,37.0
D352,P967,37.0
D72,P34,37.0
D6648,P409,37.0
D11933,P919,37.0
D13929,P56,37.0
D13915,P276,37.0
D3685,P137,37.0
D6652,P312,37.0
D1116,P197,37.0
D13930,P874,37.0
D5618,P28,37.0
D13931,P1208,37.0
D12916,P41,37.0
D13932,P719,37.0
D13933,P914,37.0
D8433,P914,37.0
D12917,P677,37.0
D13934,P41,37.0
D13935,P987,37.0
D13936,P302,37.0
D13161,P421,37.0
D13937,P346,37.0
D13938,P346,37.0
D1116,P197,37.0
D13712,P91,37.0
D13836,P1269,37.0
D13939,P77,37.0
D10138,P964,37.0
D13657,P197,37.0
D13940,P82,37.0
D9362,P798,37.15
D13941,P378,37.4
D13942,P465,37.4
D13943,P378,37.6
D13944,P123,37.8
D13945,P89,37.9
D13946,P721,38.0
D7140,P398,38.0
D7302,P73,38.0
D621,P1165,38.0
D13947,P57,38.0
D13947,P57,38.0
D13948,P932,38.0
D13949,P35,38.0
D13950,P35,38.0
D13951,P35,38.0
D13952,P725,38.0
D13953,P725,38.0
D13954,P797,38.0
D13955,P35,38.0
D13956,P465,38.0
D13957,P465,38.0
D13956,P432,38.0
D13956,P432,38.0
D13958,P119,38.0
D265,P78,38.0
D12722,P355,38.0
D11772,P23,38.0
D3303,P752,38.0
D850,P78,38.0
D3403,P251,38.0
D1046,P291,38.0
D2749,P291,38.0
D265,P291,38.0
D3303,P752,38.0
D331,P209,38.0
D265,P291,38.0
D5569,P44,38.0
